Month;Sales
2005-01;12,844
2005-02;14,409
2005-03;19,546
2005-04;20,390
2005-05;19,613
2005-06;19,728
2005-07;22,731
2005-08;21,807
2005-09;19,597
2005-10;20,204
2005-11;19,820
2005-12;33,042
2006-01;13,840
2006-02;18,765
2006-03;23,488
2006-04;22,928
2006-05;23,645
2006-06;22,680
2006-07;23,483
2006-08;22,881
2006-09;22,173
2006-10;22,899
2006-11;23,678
2006-12;29,435
2007-01;17,828
2007-02;17,840
2007-03;22,497
2007-04;22,112
2007-05;23,131
2007-06;21,224
2007-07;19,955
2007-08;22,895
2007-09;23,957
2007-10;25,295
2007-11;24,103
2007-12;28,926
2008-01;19,680
2008-02;19,701
2008-03;22,090
2008-04;24,274
2008-05;26,264
2008-06;23,620
2008-07;24,403
2008-08;21,916
2008-09;21,401
2008-10;17,166
2008-11;17,236
2008-12;22,000
2009-01;12,699
2009-02;15,999
2009-03;17,790
2009-04;16,204
2009-05;16,514
2009-06;16,883
2009-07;18,358
2009-08;19,889
2009-09;18,603
2009-10;19,307
2009-11;18,412
2009-12;21,244
2010-01;15,444
2010-02;15,835
2010-03;20,708
2010-04;18,916
2010-05;19,879
2010-06;19,582
2010-07;18,616
2010-08;20,130
2010-09;21,097
2010-10;19,454
2010-11;19,256
2010-12;22,039
2011-01;17,631
2011-02;16,660
2011-03;22,971
2011-04;19,624
2011-05;20,798
2011-06;23,132
2011-07;21,065
2011-08;20,728
2011-09;23,897
2011-10;24,449
2011-11;28,255
2011-12;28,006
2012-01;21,726
2012-02;39,358
2012-03;25,508
2012-04;25,066
2012-05;24,359
2012-06;25,388
2012-07;22,294
2012-08;23,439
2012-09;25,980
2012-10;26,642
2012-11;32,829
2012-12;31,372
2013-01;24,239
2013-02;24,051
2013-03;27,104
2013-04;26,157
2013-05;27,359
2013-06;27,162
2013-07;26,423
2013-08;27,144
2013-09;27,474
2013-10;32,620
2013-11;37,345
2013-12;36,690
2014-01;24,413
2014-02;24,971
2014-03;30,091
2014-04;29,329
2014-05;29,570
2014-06;29,380
2014-07;30,757
2014-08;30,291
2014-09;30,271
2014-10;32,622
2014-11;37,925
2014-12;38,270
2015-01;26,616
2015-02;25,749
2015-03;32,883
2015-04;32,432
2015-05;33,189
2015-06;31,260
2015-07;30,130
2015-08;28,571
2015-09;30,428
2015-10;31,766
2015-11;33,108
2015-12;38,588
2016-01;26,814
2016-02;25,150
2016-03;32,115
2016-04;32,291
2016-05;34,877
2016-06;31,965
2016-07;32,288
2016-08;31,909
2016-09;30,105
2016-10;31,801
2016-11;33,490
2016-12;37,057
2017-01;27,900
2017-02;27,383
2017-03;32,352
2017-04;29,490
2017-05;30,290
2017-06;32,328
2017-07;28,849
2017-08;29,183
2017-09;32,337
2017-10;31,541
2017-11;34,242
2017-12;39,416
2018-01;27,603
2018-02;27,894
2018-03;31,484
2018-04;27,300
2018-05;30,187
2018-06;29,125
2018-07;23,058
2018-08;24,192
2018-09;30,715
2018-10;29,569
2018-11;32,979
2018-12;36,254
2019-01;23,804
2019-02;24,447
2019-03;30,647
2019-04;25,716
2019-05;25,716
2019-06;29,275
2019-07;27,546
2019-08;30,218
2019-09;32,002
2019-10;32,130
2019-11;35,954
2019-12;35,279
2020-01;24,445
2020-02;31,650
2020-03;19,170
